Ride ID,Date,Pickup Location,Drop-off Location,Fare,Payment Method,Ride Status,Rating
R084,2026-08-01,Wapda Town,Airport,162,Card,Completed,4.0
R085,2026-08-28,Wapda Town,Cantt,1149,Cash,Completed,4.0
R086,2026-08-01,Wapda Town,Faisal Town,978,Wallet,Completed,4.0
R087,2026-08-30,DHA,DHA,956,Wallet,Completed,3.0
R088,2026-08-03,Wapda Town,Model Town,1095,Cash,Completed,4.0
R089,2026-08-11,Model Town,Airport,819,Card,Completed,4.0
R090,2026-08-09,Wapda Town,Township,317,Card,Completed,5.0
R091,2026-08-02,Bahria Town,Cantt,290,Wallet,Completed,3.0
R092,2026-08-08,Model Town,DHA,462,Cash,Completed,5.0
R093,2026-08-04,Model Town,Airport,674,Card,Completed,5.0
R094,2026-08-24,Gulberg,Model Town,787,Cash,Completed,4.0
R095,2026-08-19,Wapda Town,Askari,556,Cash,Completed,5.0
R096,2026-08-08,Gulberg,Township,397,Wallet,Completed,4.0
R097,2026-08-18,Wapda Town,Faisal Town,291,Wallet,Completed,3.0
R098,2026-08-28,Wapda Town,Airport,366,Card,Cancelled,
R099,2026-08-21,Iqbal Town,Model Town,1041,Cash,Completed,5.0
R100,2026-08-09,Iqbal Town,Airport,1042,Wallet,Completed,4.0
R101,2026-08-28,Model Town,Gulberg,721,Card,Completed,4.0
R102,2026-08-19,Wapda Town,Faisal Town,208,Card,Cancelled,
R103,2026-08-06,Iqbal Town,Cantt,876,Card,Completed,5.0
R104,2026-08-23,Johar Town,DHA,541,Cash,Completed,4.0
R105,2026-08-16,Model Town,Airport,1155,Card,Completed,3.0
R106,2026-08-10,Model Town,Askari,648,Card,Completed,4.0
R107,2026-08-16,Bahria Town,Askari,827,Card,Completed,4.0
R108,2026-08-10,Johar Town,Cantt,397,Wallet,Completed,3.0
R109,2026-08-24,DHA,Cantt,593,Wallet,Completed,5.0
R110,2026-08-19,Johar Town,Gulberg,547,Card,Completed,3.0
R111,2026-08-10,Lahore,Model Town,711,Cash,Cancelled,
R112,2026-08-18,Johar Town,Model Town,1155,Cash,Cancelled,
R113,2026-08-19,Johar Town,Airport,1130,Card,Completed,3.0
R114,2026-08-09,Iqbal Town,Gulberg,283,Card,Completed,5.0
R115,2026-08-21,Lahore,Model Town,455,Wallet,Cancelled,
R116,2026-08-03,Model Town,Gulberg,1002,Wallet,Completed,5.0
R117,2026-08-08,Wapda Town,Airport,1056,Card,Cancelled,
R118,2026-08-14,Johar Town,DHA,353,Cash,Completed,4.0
R119,2026-08-22,Gulberg,Model Town,641,Cash,Completed,3.0
R120,2026-08-01,Wapda Town,Airport,1112,Card,Completed,4.0
