Ride ID,Date,Pickup Location,Drop-off Location,Fare,Payment Method,Ride Status,Rating
R061,11-08-2026,Johar Town,Gulberg,721,Card,Completed,4
R062,22-08-2026,Bahria Town,DHA,386,Card,Completed,4
R063,02-08-2026,Gulberg,Askari,857,Wallet,Completed,4
R064,20-08-2026,Gulberg,Askari,539,Card,Completed,4
R065,01-08-2026,Model Town,Faisal Town,1033,Cash,Cancelled,
R066,30-08-2026,Bahria Town,Faisal Town,405,Wallet,Cancelled,
R067,17-08-2026,Johar Town,Askari,818,Card,Completed,5
R068,05-08-2026,Model Town,Askari,926,Wallet,Completed,3
R069,20-08-2026,Johar Town,Askari,150,Card,Completed,4
R070,26-08-2026,Bahria Town,Airport,1054,Card,Completed,5
R071,16-08-2026,DHA,Gulberg,731,Wallet,Completed,5
R072,11-08-2026,Gulberg,Cantt,785,Cash,Completed,3
R073,01-08-2026,Lahore,Cantt,1123,Wallet,Cancelled,
R074,03-08-2026,Iqbal Town,Askari,548,Wallet,Completed,4
R075,13-08-2026,Model Town,Model Town,161,Cash,Completed,3
R076,06-08-2026,Iqbal Town,DHA,660,Cash,Completed,4
R077,22-08-2026,Bahria Town,Airport,1183,Card,Cancelled,
R078,18-08-2026,Iqbal Town,Model Town,1122,Card,Completed,3
R079,27-08-2026,Johar Town,Airport,639,Card,Completed,5
R080,10-08-2026,Model Town,Township,837,Card,Cancelled,
R081,03-08-2026,DHA,Model Town,623,Card,Completed,5
R082,07-08-2026,Gulberg,Askari,984,Card,Completed,4
R083,02-08-2026,Model Town,Askari,947,Wallet,Cancelled,
R084,01-08-2026,Wapda Town,Airport,162,Card,Completed,4
R085,28-08-2026,Wapda Town,Cantt,1149,Cash,Completed,4
R086,01-08-2026,Wapda Town,Faisal Town,978,Wallet,Completed,4
R087,30-08-2026,DHA,DHA,956,Wallet,Completed,3
R088,03-08-2026,Wapda Town,Model Town,1095,Cash,Completed,4
R089,11-08-2026,Model Town,Airport,819,Card,Completed,4
R090,09-08-2026,Wapda Town,Township,317,Card,Completed,5
R091,02-08-2026,Bahria Town,Cantt,290,Wallet,Completed,3
R092,08-08-2026,Model Town,DHA,462,Cash,Completed,5
R093,04-08-2026,Model Town,Airport,674,Card,Completed,5
R094,24-08-2026,Gulberg,Model Town,787,Cash,Completed,4
R095,19-08-2026,Wapda Town,Askari,556,Cash,Completed,5
R096,08-08-2026,Gulberg,Township,397,Wallet,Completed,4
R097,18-08-2026,Wapda Town,Faisal Town,291,Wallet,Completed,3
R098,28-08-2026,Wapda Town,Airport,366,Card,Cancelled,
R099,21-08-2026,Iqbal Town,Model Town,1041,Cash,Completed,5
R100,09-08-2026,Iqbal Town,Airport,1042,Wallet,Completed,4
R101,28-08-2026,Model Town,Gulberg,721,Card,Completed,4
R102,19-08-2026,Wapda Town,Faisal Town,208,Card,Cancelled,
R103,06-08-2026,Iqbal Town,Cantt,876,Card,Completed,5
R104,23-08-2026,Johar Town,DHA,541,Cash,Completed,4
R105,16-08-2026,Model Town,Airport,1155,Card,Completed,3
R106,10-08-2026,Model Town,Askari,648,Card,Completed,4
R107,16-08-2026,Bahria Town,Askari,827,Card,Completed,4
R108,10-08-2026,Johar Town,Cantt,397,Wallet,Completed,3
R109,24-08-2026,DHA,Cantt,593,Wallet,Completed,5
R110,19-08-2026,Johar Town,Gulberg,547,Card,Completed,3
R111,10-08-2026,Lahore,Model Town,711,Cash,Cancelled,
R112,18-08-2026,Johar Town,Model Town,1155,Cash,Cancelled,
R113,19-08-2026,Johar Town,Airport,1130,Card,Completed,3
R114,09-08-2026,Iqbal Town,Gulberg,283,Card,Completed,5
R115,21-08-2026,Lahore,Model Town,455,Wallet,Cancelled,
R116,03-08-2026,Model Town,Gulberg,1002,Wallet,Completed,5
R117,08-08-2026,Wapda Town,Airport,1056,Card,Cancelled,
R118,14-08-2026,Johar Town,DHA,353,Cash,Completed,4
R119,22-08-2026,Gulberg,Model Town,641,Cash,Completed,3
R120,01-08-2026,Wapda Town,Airport,1112,Card,Completed,4
R010,10-08-2026,Gulberg,DHA,500,Cash,Completed,4
R121,,Johar Town,DHA,380,Card,Completed,5
R122,15-08-2026,DHA,Cantt,-300,Cash,Completed,4
R123,18-08-2026,,Airport,600,Wallet,Completed,5
R124,invalid-date,Bahria Town,DHA,450,Cash,Completed,3
R125,20-08-2026,Model Town,Gulberg,,Card,Cancelled,
